"Nf","NfSE","Nm","NmSE"
37,18,159,79
18,9,38,10
NA,NA,NA,NA
8,2,153,76
NA,NA,NA,NA
20,8,207,119
34,17,104,39
17,5,66,27
19,7,377,266
NA,NA,NA,NA
49,24,148,74
24,12,84,32
24,9,83,29
90,63,219,109
NA,NA,NA,NA
31,14,61,21
9,3,397,280
30,12,291,168
11,3,102,41
NA,NA,NA,NA
27,11,115,43
27,9,110,55
65,37,76,27
44,19,64,20
25,9,112,50
NA,NA,NA,NA
NA,NA,NA,NA
30,10,123,71
44,18,90,40
16,5,276,195
35,24,81,31
28,11,103,42
37,13,66,25
NA,NA,NA,NA
NA,NA,NA,NA
81,57,348,245
10,3,117,44
NA,NA,NA,NA
17,7,266,153
38,19,110,39
12,5,110,45
24,7,355,251
NA,NA,NA,NA
55,27,139,69
27,9,72,27
17,9,70,22
17,8,116,52
NA,NA,NA,NA
31,13,141,81
NA,NA,NA,NA
50,25,63,24
16,6,137,61
NA,NA,NA,NA
21,7,82,31
65,37,75,30
22,8,101,50
21,8,180,90
20,6,100,40
NA,NA,NA,NA
18,8,75,28
36,12,72,32
11,3,231,133
31,15,108,48
NA,NA,NA,NA
13,4,44,14
25,9,154,77
NA,NA,NA,NA
NA,NA,NA,NA
27,10,158,79
22,16,117,44
52,30,77,26
26,18,90,34
43,19,145,65
NA,NA,NA,NA
5,2,69,26
16,6,72,24
12,4,115,51
23,9,62,21
53,24,143,64
18,7,77,31
25,9,96,39
24,10,236,136
26,11,103,42
NA,NA,NA,NA
13,4,135,77
59,26,122,70
21,8,74,28
29,12,78,29
60,34,91,34
47,27,112,50
22,8,87,35
15,5,167,75
10,3,145,65
15,4,48,19
26,9,180,90
13,3,56,20
52,36,141,63
47,23,336,238
NA,NA,NA,NA
43,21,120,53
30,11,51,17
14,8,67,22
29,9,97,39
27,13,104,46
34,17,220,127
39,17,95,38
NA,NA,NA,NA
14,5,100,38
22,10,69,21
NA,NA,NA,NA
12,4,96,39
14,6,104,42
17,4,39,15
NA,NA,NA,NA
NA,NA,NA,NA
82,47,172,77
25,12,47,15
NA,NA,NA,NA
19,9,88,33
53,37,84,29
38,17,85,32
13,4,106,43
10,3,91,41
24,12,77,27
43,30,336,237
28,10,103,46
20,7,113,56
48,23,397,280
20,6,192,110
78,54,106,43
31,11,83,37
19,8,105,37
NA,NA,NA,NA
33,14,258,149
16,6,80,30
NA,NA,NA,NA
NA,NA,NA,NA
45,26,324,228
83,58,406,287
31,10,105,47
110,78,67,25
36,14,73,26
31,12,131,53
24,14,75,24
35,17,256,147
8,3,100,38
NA,NA,NA,NA
86,49,60,20
23,11,128,48
19,7,135,55
20,9,76,27
44,20,128,57
4,1,69,22
14,4,117,67
44,18,43,14
19,6,177,102
50,22,201,116
47,23,90,34
8,3,79,26
150,106,196,113
38,17,88,31
17,6,153,76
20,6,147,65
3,1,123,61
11,3,79,28
NA,NA,NA,NA
82,47,108,44
20,7,80,40
32,16,97,36
54,38,172,77
23,8,39,12
NA,NA,NA,NA
NA,NA,NA,NA
12,5,86,30
89,51,55,17
39,17,342,241
NA,NA,NA,NA
NA,NA,NA,NA
66,46,50,15
101,50,76,29
27,9,222,128
20,7,165,82
37,18,145,72
13,5,222,156
37,17,134,60
NA,NA,NA,NA
13,6,48,14
NA,NA,NA,NA
35,14,128,57
28,11,188,108
58,33,42,11
10,4,64,19
23,8,69,28
24,9,87,35
12,3,146,65
19,6,81,33
28,11,77,34
26,10,264,186
30,12,105,52
40,19,76,29
45,22,336,237
26,10,93,38
NA,NA,NA,NA
26,11,98,40
29,13,215,124
28,9,294,208
24,10,190,95
23,8,85,30
53,24,49,16
NA,NA,NA,NA
NA,NA,NA,NA
11,5,155,69
61,27,62,19
74,52,59,19
50,25,177,88
14,4,171,76
28,10,146,65
20,7,143,64
29,14,194,97
14,4,83,41
18,6,101,45
33,14,213,123
29,17,67,22
16,6,132,59
45,22,125,56
NA,NA,NA,NA
24,10,51,19
51,29,75,25
48,24,77,31
25,8,38,12
32,14,116,52
82,58,111,50
40,18,108,44
57,33,304,215
NA,NA,NA,NA
16,6,59,21
61,35,91,45
74,37,132,66
18,5,171,99
42,17,202,116
55,27,114,57
14,6,64,22
26,10,198,114
32,18,112,50
29,13,249,176
36,16,95,34
18,5,368,260
36,16,110,49
13,5,171,85
114,80,113,50
5,1,199,115
21,8,98,40
NA,NA,NA,NA
NA,NA,NA,NA
3,1,54,16
22,8,103,42
30,17,105,39
53,23,140,62
NA,NA,NA,NA
16,6,284,164
8,2,107,48
73,42,61,25
34,16,118,59
16,8,482,341
40,15,214,123
15,5,105,43
12,3,68,26
22,7,85,38
22,7,68,23
23,7,115,47
22,7,122,54
24,7,144,64
16,5,137,68
NA,NA,NA,NA
25,7,62,23
15,6,245,141
48,21,60,19
43,24,81,30
18,8,56,16
14,5,83,29
20,6,91,40
22,10,80,32
57,33,132,59
11,4,157,90
73,42,128,57
11,3,299,211
16,8,176,88
11,2,227,160
33,14,95,36
21,9,190,109
40,23,175,87
36,13,104,46
30,13,134,55
12,3,99,44
16,4,61,21
31,13,61,21
13,3,215,124
11,4,62,19
17,5,135,60
14,5,112,50
35,17,205,118
15,4,56,19
42,24,62,18
34,14,150,75
20,8,156,70
23,9,84,29
9,3,116,44
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
78,45,125,62
12,4,117,47
23,11,423,299
20,7,104,46
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
80,56,95,39
18,6,83,27
34,24,124,55
33,13,300,212
34,15,98,44
19,11,217,125
45,17,78,32
59,29,179,103
21,9,119,53
32,15,162,81
25,11,120,49
21,10,189,109
69,40,354,250
34,13,72,29
NA,NA,NA,NA
21,8,132,59
54,38,106,40
15,5,87,36
28,12,167,74
37,13,104,46
20,7,105,47
32,16,347,245
25,14,79,30
25,9,97,43
48,24,166,95
20,7,239,138
37,16,47,16
24,11,117,58
16,7,117,52
34,13,335,236
9,3,180,80
19,9,110,42
7,2,135,60
32,14,46,15
NA,NA,NA,NA
24,8,148,74
NA,NA,NA,NA
60,30,126,51
33,11,64,24
NA,NA,NA,NA
17,4,83,37
82,58,146,84
8,2,146,65
19,8,121,54
89,44,139,80
24,9,132,66
14,4,102,45
38,19,140,62
40,23,77,29
17,6,68,22
25,14,86,32
19,8,111,55
15,7,89,28
29,14,107,44
15,5,116,52
20,6,137,68
NA,NA,NA,NA
29,10,122,54
50,29,102,38
51,22,316,223
